player_id,player_name,Position,Shoots,Height,Weight,Birthday,Birthmonth,Birthyear,College,Draft,Draft Team,Draf Pick,Experience,NBA Debut
barneha02,Harrison Barnes,"Power Forward, Small Forward",Right,6-7,225,30,May,1992,UNC,2012 NBA Draft,Golden State Warriors,"1st round (7th pick, 7th overall)",14.0,"October 31, 2012"
barneji01,Jim Barnes,"Power Forward, Center",Right,6-8,210,13,April,1941,Texas-El Paso,1964 NBA Draft,New York Knicks,"1st round (1st pick, 1st overall)",,"October 30, 1964"
barnema02,Matt Barnes,"Small Forward, Power Forward",Right,6-7,226,9,March,1980,UCLA,2002 NBA Draft,Memphis Grizzlies,"2nd round (17th pick, 46th overall)",,"January 19, 2004"
barnesc01,Scottie Barnes,"Power Forward, Shooting Guard, Small Forward",Right,6-8,237,1,August,2001,Florida State,2021 NBA Draft,Toronto Raptors,"1st round (4th pick, 4th overall)",5.0,"October 20, 2021"
barnhbr01,Brooks Barnhizer,Shooting Guard,Right,6-5,230,2,March,2002,Northwestern,2025 NBA Draft,Oklahoma City Thunder,"2nd round (14th pick, 44th overall)",1.0,"October 21, 2025"
barnhjo01,John Barnhill,"Point Guard, Shooting Guard",Right,6-1,180,20,March,1938,Tennessee State,1959 NBA Draft,St. Louis Hawks,"11th round (6th pick, 79th overall)",,"October 20, 1962"
barrerj01,RJ Barrett,"Shooting Guard, Small Forward",Left,6-6,214,14,June,2000,Duke,2019 NBA Draft,New York Knicks,"1st round (3rd pick, 3rd overall)",7.0,"October 23, 2019"
barroea01,Earl Barron,Center,Right,7-0,250,14,August,1981,Memphis,,,,,"November 2, 2005"
barrybr01,Brent Barry,"Shooting Guard, Small Forward",Right,6-6,185,31,December,1971,Oregon State,1995 NBA Draft,Denver Nuggets,"1st round (15th pick, 15th overall)",,"November 3, 1995"
barryri01,Rick Barry,Small Forward,Right,6-7,205,28,March,1944,Miami (FL),1965 NBA Draft,San Francisco Warriors,"1st round (4th pick, 4th overall)",,"October 15, 1965"
bartowi01,Will Barton,"Shooting Guard, Small Forward",Right,6-5,181,6,January,1991,Memphis,2012 NBA Draft,Portland Trail Blazers,"2nd round (10th pick, 40th overall)",,"November 2, 2012"
bassech01,Charles Bassey,Center,Right,6-10,230,28,October,2000,Western Kentucky,2021 NBA Draft,Philadelphia 76ers,"2nd round (23rd pick, 53rd overall)",5.0,"October 20, 2021"
basseti01,Tim Bassett,Power Forward,Left,6-8,225,1,April,1951,College of Southern Idaho,1973 NBA Draft,Buffalo Braves,"7th round (3rd pick, 106th overall)",,"October 22, 1976"
basspa01,Paris Bass,Small Forward,Right,6-8,200,29,August,1995,Detroit Mercy,,,,,"January 2, 2022"
bateeme01,Mengke Bateer,Center,Right,6-11,290,20,November,1975,,,,,,"February 27, 2002"
batesem01,Emoni Bates,Small Forward,Right,6-9,202,28,January,2004,Memphis,2023 NBA Draft,Cleveland Cavaliers,"2nd round (19th pick, 49th overall)",2.0,"October 28, 2023"
